ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist
1423,Reverse Hyper on Flat Bench,Strength,Hips,Body weight,Male,Gluteus Maximus,Hamstrings
1424,Seated Glute Stretch,Stretching,Hips,Body weight,Male,Gluteus Maximus,
1425,Sled 45 degrees One Leg Press,Strength,Hips,Sled machine,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1426,Smith Seated Wrist Curl,Strength,Forearms,Smith machine,Male,Wrist Flexors,
1427,Straight Leg Outer Hip Abductor,Strength,Hips,Body weight,Male,"Gluteus Medius, Tensor Fasciae Latae",
1428,Wrist Circles,Strength,Forearms,Body weight,Male,"Wrist Extensors, Wrist Flexors",
1429,Wide Grip Pull-Up,Strength,Back,Body weight,Male,Latissimus Dorsi,"Biceps Brachii, Brachialis, Brachioradialis, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers"
1430,Chest Dip (on dip-pull-up cage),Strength,Chest,Body weight,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Triceps Brachii"
1431,Assisted Standing Chin-Up,Strength,Back,Leverage machine,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Trapezius Lower Fibers, Trapezius Middle Fibers"
1432,Assisted Standing Pull-up,Strength,Back,Leverage machine,Male,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Infraspinatus, Teres Major, Teres Minor, Trapezius Lower Fibers, Trapezius Middle Fibers"
1433,Smith Front Squat (Clean Grip),Strength,Thighs,Smith machine,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1434,Smith Low Bar Squat,Strength,Thighs,Smith machine,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1435,Barbell Low Bar Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1436,Barbell High Bar Squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps","Adductor Magnus, Soleus"
1437,Dumbbell finger curls,Strength,Forearms,Dumbbell,Male,,
